11,12,13,14,15,16,17,18,Female,Male,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
16,6,110,145,234,294,324,669,687,1111,2631.200000000016,1962.75,2473.4285714285716,2200.166666666671,2275.0000000000036,2555.750000000002,2055.875,3062.6999999999953,2823.25,2782.8333333333294
16,60,418,469,519,427,372,452,1697,1036,3959.2000000000307,2923.5,3577.2857142857115,3218.4999999999877,3135.749999999976,3203.666666666661,2833.0,2847.4999999999945,4356.0,4078.4999999999895
