11,12,13,14,15,16,17,18,Female,Male,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
5,3,21,24,53,49,38,79,90,182,408.59999999999945,330.25,429.642857142857,372.5,434.4166666666666,451.0833333333331,476.125,428.49999999999983,426.25,436.5000000000004
7,38,217,217,237,172,133,176,790,407,1722.2000000000128,1270.5,1372.7857142857135,1325.1666666666658,1312.0000000000032,1253.6666666666658,1209.875,1227.3000000000022,1919.0,1750.6666666666658
7,3,63,84,117,149,171,324,416,502,1327.200000000004,988.0,1185.9999999999977,1082.833333333331,1035.4999999999968,1009.5000000000016,939.25,1542.6999999999982,1447.0,1383.8333333333337
8,11,122,143,158,130,105,84,453,308,1118.2000000000012,825.25,1230.3571428571431,996.4999999999982,880.4999999999967,808.8333333333331,782.25,812.6000000000003,1204.5,1149.9999999999989
3,1,29,45,84,135,154,339,258,532,1158.4000000000024,841.0,1106.5000000000011,947.1666666666662,1005.5833333333311,1301.0833333333337,845.375,1367.100000000001,1243.5,1233.8333333333348
2,8,67,91,116,99,103,107,349,244,854.9999999999989,630.0,789.1428571428578,687.4999999999994,737.0833333333327,936.4999999999992,632.25,606.0999999999999,941.5,906.9999999999995
