11,12,13,14,15,16,17,18,Female,Male,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
17,56,404,450,553,426,373,349,1770,858,3801.40000000003,2803.5,3452.0714285714234,3085.499999999991,2985.0833333333135,3018.9999999999977,2702.375,2801.6999999999925,4196.75,3913.3333333333253
15,8,115,154,212,308,331,760,586,1317,2788.2000000000157,2081.5,2662.357142857146,2326.166666666669,2420.0,2741.6666666666615,2182.75,3182.599999999998,2985.0,2948.4999999999914
