11,12,13,14,15,16,17,18,Female,Male,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
16,58,417,458,545,432,388,374,1813,875,3889.4000000000306,2869.25,3508.1428571428555,3165.999999999989,3058.8333333333117,3087.6666666666615,2761.75,2845.0999999999926,4288.75,4008.1666666666574
16,8,111,156,208,289,308,747,571,1272,2701.000000000015,2017.0,2542.5714285714294,2252.6666666666674,2351.9166666666692,2671.7499999999973,2127.125,3065.099999999998,2890.5,2853.166666666661
