11,12,13,14,15,16,17,18,Female,Male,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
4,11,117,132,150,123,98,88,438,285,1063.8000000000006,781.5,1154.428571428573,955.4999999999985,837.0833333333309,758.333333333333,742.5,755.3000000000003,1139.5,1089.8333333333321
3,1,30,45,86,127,144,334,258,512,1131.2000000000012,823.25,1057.714285714286,922.1666666666666,974.5833333333312,1266.0000000000005,823.75,1339.1000000000004,1210.25,1199.5000000000007
2,8,73,100,123,115,112,136,388,281,967.7999999999987,710.75,889.3571428571433,778.4999999999992,832.4999999999986,1052.583333333333,712.0,679.6000000000004,1064.5,1026.666666666667
6,3,23,24,52,49,42,77,91,185,414.19999999999936,333.75,432.8571428571427,381.4999999999999,447.5,463.41666666666686,486.875,419.5,434.25,441.66666666666714
8,3,62,86,113,137,160,299,403,465,1253.6000000000022,932.5,1114.7857142857133,1022.999999999997,977.7499999999968,941.5000000000014,886.25,1466.399999999998,1366.0,1307.8333333333342
9,40,223,227,229,170,140,187,806,419,1759.8000000000143,1304.5,1401.5714285714278,1357.999999999999,1341.333333333337,1277.5833333333328,1237.5,1250.3000000000022,1964.75,1795.8333333333326
