11,12,13,14,15,16,17,18,Female,Male,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
9,3,62,81,111,137,162,318,400,483,1277.8000000000013,951.0,1146.42857142857,1038.9999999999968,997.3333333333301,958.1666666666677,902.5,1490.9999999999977,1391.0,1330.8333333333346
6,12,124,141,162,125,103,80,467,286,1104.4000000000005,818.0,1207.357142857143,986.8333333333317,865.9999999999973,785.4166666666664,773.125,798.5000000000005,1190.25,1134.9999999999993
6,37,215,221,234,174,138,177,802,400,1726.4000000000135,1276.25,1376.4285714285706,1328.833333333333,1317.3333333333362,1253.166666666666,1214.75,1229.9000000000024,1928.75,1761.3333333333326
3,1,30,46,82,133,150,360,260,545,1181.2000000000025,860.5,1119.1428571428585,965.8333333333328,1015.6666666666642,1321.2500000000007,857.875,1396.900000000001,1265.75,1254.8333333333342
2,8,70,96,122,101,105,110,370,244,888.3999999999987,651.0,820.6428571428575,712.9999999999994,763.4999999999989,966.3333333333326,651.375,627.5,973.25,940.4999999999999
6,3,21,23,53,51,38,79,90,184,410.79999999999944,329.75,431.3571428571427,377.8333333333333,440.3333333333333,459.50000000000017,478.0,432.29999999999995,432.0,438.3333333333337
