11,12,13,14,15,16,17,18,Female,Male,QN6,QN7,QN8,QN9,QN10,QN11,QN12,QN13,QN14,QN15,QN16,QN17,QN18,QN19,QN20,QN21,QN22,QN23,QN24,QN25,QN26,QN27,QN28,QN29,QN30,QN31,QN32,QN33,QN34,QN35,QN36,QN37,QN38,QN39,QN40,QN41,QN42,QN43,QN44,QN45,QN46,QN47,QN48,QN49,QN50,QN51,QN52,QN53,QN54,QN55,QN56,QN57,QN58
21,59,430,499,568,524,465,668,1933,1301,3513,5512,5894,4662,3744,3546,3360,3397,3557,4208,4020,4591,1240,1088,4438,1203,3658,3634,3798,3994,3962,3678,844,3355,3347,286,4751,3668,2075,3807,852,825,3735,3434,515,3339,3309,3312,4357,1212,3595,1037,1404,5843,5068,5488,4283,3862,5565,5068,4644,5351,4498
11,5,89,105,197,210,239,441,423,874,1466,2193,2358,2000,1606,1461,1372,1400,1447,2111,2013,2333,1059,970,2220,988,1562,1588,1630,1748,1796,1422,860,1614,1510,497,2286,1594,1742,2191,1285,1215,2108,1699,726,1510,1458,1461,2416,1491,1979,1225,1594,2250,1771,2164,1860,1856,2225,2133,1733,2251,1985
