11,12,13,14,15,16,17,18,Female,Male,QN6,QN7,QN8,QN9,QN10,QN11,QN12,QN13,QN14,QN15,QN16,QN17,QN18,QN19,QN20,QN21,QN22,QN23,QN24,QN25,QN26,QN27,QN28,QN29,QN30,QN31,QN32,QN33,QN34,QN35,QN36,QN37,QN38,QN39,QN40,QN41,QN42,QN43,QN44,QN45,QN46,QN47,QN48,QN49,QN50,QN51,QN52,QN53,QN54,QN55,QN56,QN57,QN58
19,59,436,506,578,513,465,665,1978,1263,3527,5522,5905,4676,3753,3556,3372,3406,3561,4230,4025,4639,3851.0,3790.0,4458,3816.0,3666,3644,3803,3998,3971,3682,3649.0,3356,3355,3376.0,4766,3677,4201.0,3806,3660.5,3631.5,3729,3445,3482.5,3337,3308,3315,4360,3811.0,3594,3740.0,3876.0,5855,5061,5498,4294,3889,5570,5067,4640,5353,4515
13,5,86,102,186,208,231,459,411,879,1453,2181,2344,1986,1598,1451,1360,1392,1448,2085,2007,2305,1791.5,1756.0,2195,1761.0,1555,1581,1627,1739,1784,1418,1714.0,1611,1502,1540.0,2269,1586,2164.5,2188,1931.0,1897.5,2116,1693,1646.0,1510,1456,1456,2430,2039.5,1993,1901.5,2135.5,2236,1778,2144,1858,1831,2219,2132,1734,2247,1968
