11,12,13,14,15,16,17,18,Female,Male,QN6,QN7,QN8,QN9,QN10,QN11,QN12,QN13,QN14,QN15,QN16,QN17,QN18,QN19,QN20,QN21,QN22,QN23,QN24,QN25,QN26,QN27,QN28,QN29,QN30,QN31,QN32,QN33,QN34,QN35,QN36,QN37,QN38,QN39,QN40,QN41,QN42,QN43,QN44,QN45,QN46,QN47,QN48,QN49,QN50,QN51,QN52,QN53,QN54,QN55,QN56,QN57,QN58
20,61,440,514,567,531,480,714,1994,1333,3621,5678,6066,4795,3851,3645,3456,3496,3661,4367,4156,4684,3953.5,3892.5,4507,3923.0,3765,3746,3922,4129,4096,3768,3760.0,3449,3443,3474.5,4917,3785,4360.0,3937,3770.0,3767.0,3861,3544,3594.5,3425,3394,3408,4426,3917.5,3700,3833.5,3982.0,6009,5189,5647,4344,3988,5725,5209,4759,5508,4636
12,5,88,100,186,190,216,407,390,814,1360,2025,2180,1875,1501,1364,1276,1301,1346,1954,1878,2118,1670.5,1633.0,1994,1624.5,1456,1483,1532,1621,1662,1332,1625.5,1525,1418,1463.5,2120,1484,2038.5,2060,1825.5,1785.5,2005,1603,1556.0,1430,1378,1370,2211,1897.5,1859,1767.0,1957.5,2081,1645,1995,1807,1738,2061,1991,1616,2086,1851
