Q1,Q2,dietary,hygiene,injury,mental_health,tobacco_use,alcohol_use,drug_use,sexual_behaviours,physical_activity,protective_factors
1.0,-0.12571206276055566,0.05477059347514891,-0.04170556916072848,-0.06295357225084587,0.018267077260867834,0.011211419770669388,0.20311314542235315,0.055831126299637795,0.2830450429599047,-0.07057315443104445,0.1046214275629614
-0.12571206276055566,1.0,-0.001834939625802377,-0.03322510492537055,-0.07814257752054225,0.024960631105845576,-0.13638495308434448,-0.15565808473928594,-0.1219560803844288,-0.2647272066364446,0.08214502762612483,-0.011437215978742662
0.05477059347514891,-0.001834939625802377,1.0,0.030549726154793958,0.05837164282601065,0.07880834393536759,0.07134351360589886,0.06373400443771748,0.0756392906775825,0.02900099365906864,-0.014695184214499602,0.013674732469592254
-0.04170556916072848,-0.03322510492537055,0.030549726154793958,1.0,0.09444348716573513,0.10781956518791322,0.13975737538480568,0.03322193605557514,0.19038089995215868,0.04111824994242774,0.021120698771970522,0.07224178416282848
-0.06295357225084587,-0.07814257752054225,0.05837164282601065,0.09444348716573513,1.0,0.2680167103708935,0.22573593588112903,0.10275738159524979,0.21602089115666614,0.04932732500019216,-0.033535690012064655,0.12402806443071486
0.018267077260867834,0.024960631105845576,0.07880834393536759,0.10781956518791322,0.2680167103708935,1.0,0.1909958280171791,0.0634550415691473,0.20665514794725617,0.05050526188772068,-0.0008375694982512968,0.062230474406500334
0.011211419770669388,-0.13638495308434448,0.07134351360589886,0.13975737538480568,0.22573593588112903,0.1909958280171791,1.0,0.38879723324774823,0.4266565714778196,0.17182923584476842,0.011103454321916895,0.12534396162180295
0.20311314542235315,-0.15565808473928594,0.06373400443771748,0.03322193605557514,0.10275738159524979,0.0634550415691473,0.38879723324774823,1.0,0.32262928597968077,0.3011737823235543,-0.0030802963663887476,0.16394412161356944
0.055831126299637795,-0.1219560803844288,0.0756392906775825,0.19038089995215868,0.21602089115666614,0.20665514794725617,0.4266565714778196,0.32262928597968077,1.0,0.1550224268421678,-0.002883415518562854,0.13161302023818552
0.2830450429599047,-0.2647272066364446,0.02900099365906864,0.04111824994242774,0.04932732500019216,0.05050526188772068,0.17182923584476842,0.3011737823235543,0.1550224268421678,1.0,-0.036337500545198166,0.12200672312177507
-0.07057315443104445,0.08214502762612483,-0.014695184214499602,0.021120698771970522,-0.033535690012064655,-0.0008375694982512968,0.011103454321916895,-0.0030802963663887476,-0.002883415518562854,-0.036337500545198166,1.0,0.021640081673620526
0.1046214275629614,-0.011437215978742662,0.013674732469592254,0.07224178416282848,0.12402806443071486,0.062230474406500334,0.12534396162180295,0.16394412161356944,0.13161302023818552,0.12200672312177507,0.021640081673620526,1.0
